Scenario;Asimmetria;Approach;Profile;Diagnostic_Effectiveness;Conversational_Coherence;Extraction_Completeness;Conversational_Efficiency;Knowledge_Origin;Protocol_Adherence;Conversational_Adaptability;Task_Success_Index;Diagnostic_Initiative_Index;Lexical_Adaptation_Index
A;1;A;Collaborativo;Si;No;4;7;MIXED;2;3;2;1;3
A;2;A;Collaborativo;Si;Si;4;8;MIXED;4;3;3;1;3
A;3;A;Collaborativo;Si;Si;4;10;MIXED;2;3;2;3;3
B;1;A;Collaborativo;Si;No;4;8;TACIT;2;4;3;1;3
B;2;A;Collaborativo;Si;Si;4;8;MIXED;5;5;4;1;3
B;3;A;Collaborativo;Si;Si;4;8;MIXED;4;3;3;1;3
C;1;A;Collaborativo;Si;Si;4;8;MIXED;2;1;2;1;3
C;2;A;Collaborativo;Si;Si;4;8;TACIT;5;5;4;1;3
C;3;A;Collaborativo;Si;No;4;9;TACIT;5;5;4;1;3
A;1;A;Confuso;No;Si;1;9;MIXED;2;2;1;1;3
A;2;A;Confuso;No;No;1;10;TACIT;4;5;3;2;3
A;3;A;Confuso;Si;Si;3;9;MIXED;3;4;3;2;3
B;1;A;Confuso;No;Si;1;9;EXPLICIT;2;3;1;2;1
B;2;A;Confuso;No;Si;2;7;EXPLICIT;2;1;1;1;3
B;3;A;Confuso;No;Si;1;8;TACIT;2;3;1;2;1
C;1;A;Confuso;No;Si;1;9;TACIT;4;5;2;2;3
C;2;A;Confuso;No;No;1;8;TACIT;2;1;1;1;2
C;3;A;Confuso;No;No;1;8;TACIT;2;1;1;1;1
A;1;A;Riluttante;Si;Si;3;9;TACIT;4;5;4;2;2
A;2;A;Riluttante;Si;Si;2;9;TACIT;4;1;3;2;2
B;1;A;Riluttante;Si;Si;2;8;MIXED;3;1;3;1;1
B;2;A;Riluttante;Si;Si;3;8;MIXED;4;4;4;1;3
B;3;A;Riluttante;Si;No;2;8;MIXED;3;1;3;1;3
C;1;A;Riluttante;Si;Si;2;8;TACIT;3;1;2;1;3
C;2;A;Riluttante;Si;Si;2;8;TACIT;3;2;3;1;3
C;3;A;Riluttante;Si;Si;2;8;TACIT;3;1;2;1;2
A;1;A;Preciso;Si;Si;4;7;TACIT;2;2;3;1;3
A;2;A;Preciso;Si;Si;4;8;TACIT;2;1;2;1;3
A;3;A;Preciso;Si;No;4;8;MIXED;5;4;4;1;3
B;1;A;Preciso;Si;Si;4;8;TACIT;3;3;3;1;3
B;2;A;Preciso;Si;Si;4;9;TACIT;3;1;2;1;3
B;3;A;Preciso;Si;No;4;8;TACIT;2;2;2;1;3
C;1;A;Preciso;Si;Si;4;7;TACIT;5;5;4;1;3
C;2;A;Preciso;Si;No;4;6;MIXED;4;5;4;1;3
C;3;A;Preciso;Si;Si;4;7;TACIT;5;3;4;1;3
A;1;A;Collaborativo;Si;Si;4;7;TACIT;2;2;2;1;3
A;2;A;Collaborativo;Si;Si;4;8;MIXED;4;4;3;1;3
A;3;A;Collaborativo;Si;Si;4;9;TACIT;3;4;2;3;3
B;1;A;Collaborativo;Si;Si;4;9;TACIT;5;5;4;1;3
B;2;A;Collaborativo;Si;Si;4;8;TACIT;5;5;4;1;3
B;3;A;Collaborativo;Si;Si;4;8;MIXED;2;3;2;1;3
C;1;A;Collaborativo;Si;Si;4;8;MIXED;2;3;2;1;3
C;2;A;Collaborativo;Si;Si;4;8;TACIT;4;3;4;1;3
C;3;A;Collaborativo;Si;Si;3;8;TACIT;3;3;3;1;3
A;1;A;Confuso;Si;Si;3;11;TACIT;2;5;3;2;3
A;2;A;Confuso;No;Si;2;8;MIXED;2;3;2;2;3
A;3;A;Confuso;No;Si;1;8;TACIT;2;1;1;1;3
B;2;A;Confuso;No;No;2;9;MIXED;2;3;1;2;3
B;3;A;Confuso;Si;Si;2;8;MIXED;2;1;2;1;3
B;1;A;Confuso;Si;Si;3;9;TACIT;3;4;2;2;3
C;2;A;Confuso;Si;Si;3;10;MIXED;5;5;3;2;3
C;3;A;Confuso;No;No;1;8;EXPLICIT;2;1;1;1;1
C;1;A;Confuso;Si;No;3;9;MIXED;5;3;2;2;3
A;2;A;Riluttante;Si;Si;3;9;TACIT;5;5;4;3;3
A;3;A;Riluttante;Si;Si;3;8;TACIT;3;4;4;1;2
A;1;A;Riluttante;Si;Si;3;10;TACIT;4;4;3;3;3
B;2;A;Riluttante;Si;Si;2;8;TACIT;4;1;2;1;3
B;3;A;Riluttante;Si;Si;2;7;TACIT;2;2;2;1;3
B;1;A;Riluttante;Si;Si;3;8;MIXED;2;1;2;1;3
C;2;A;Riluttante;Si;Si;2;8;TACIT;5;2;2;1;3
C;3;A;Riluttante;Si;Si;2;8;TACIT;4;2;2;1;3
C;1;A;Riluttante;Si;Si;2;9;TACIT;2;2;2;2;3
A;2;A;Preciso;Si;No;4;8;MIXED;2;1;2;1;3
A;3;A;Preciso;Si;Si;4;7;MIXED;4;5;4;1;3
A;2;A;Preciso;Si;No;4;7;TACIT;4;4;3;1;3
B;3;A;Preciso;Si;No;4;8;MIXED;5;5;2;1;3
B;1;A;Preciso;Si;Si;4;8;TACIT;2;2;3;1;3
B;2;A;Preciso;Si;Si;4;8;TACIT;3;3;2;1;3
C;3;A;Preciso;Si;Si;4;8;MIXED;2;1;2;1;3
C;1;A;Preciso;Si;Si;4;8;TACIT;5;5;4;1;3
C;2;A;Preciso;Si;No;4;8;TACIT;3;5;3;1;3
A;3;B;Collaborativo;Si;No;3;5;MIXED;4;1;4;1;3
A;1;B;Collaborativo;Si;Si;3;5;MIXED;5;2;4;1;3
A;2;B;Collaborativo;Si;Si;3;4;MIXED;5;5;4;1;3
B;3;B;Collaborativo;Si;Si;4;4;TACIT;5;1;4;1;3
B;1;B;Collaborativo;Si;Si;4;6;MIXED;5;2;4;1;3
